X,Y,Topography,Grav,Mag
734050,1581660,605.3999736,-70.80473466,-2.871954918
735250,1581660,607.9414368,-71.2711164,2.933979034
736450,1581660,595.3507589,-72.97360034,-72.0329361
737650,1581660,586.3657939,-74.60087376,-45.75740433
738850,1581660,580.6442566,-75.42410517,-15.83911896
740050,1581660,577.5129903,-76.09071393,-37.83663177
741250,1581660,577.5408732,-77.18168888,-6.737307549
742450,1581660,570.2057902,-78.64717884,-3.967841148
743650,1581660,571.4745585,-79.15719643,43.15566254
744850,1581660,612.9542542,-79.99330091,58.61753845
746050,1581660,628.9673258,-80.24455342,80.9969635
747250,1581660,582.5956828,-79.73195038,80.90172577
748450,1581660,563.2959798,-79.23927183,45.08982086
749650,1581660,559.2895813,-78.79000044,40.81812286
750850,1581660,553.5586548,-78.6816329,23.46440697
752050,1581660,545.408254,-79.04217515,17.35994911
753250,1581660,538.9605611,-79.4067647,22.67827034
754450,1581660,541.6940104,-79.83376327,62.7294693
755650,1581660,550.0896403,-80.05575628,96.98978424
756850,1581660,562.1418254,-79.55205564,36.25357819
758050,1581660,565.9922791,-78.99187436,-12.73420143
759250,1581660,563.0165405,-79.00526199,-52.5717392
760450,1581660,562.1550395,-78.88990808,-75.21797943
761650,1581660,559.5282694,-79.55189571,-70.70565033
762850,1581660,565.0614319,-80.5356215,-123.0724258
764050,1581660,567.5443014,-81.38226786,-70.63241577
765250,1581660,558.0620422,-82.02518759,-103.4020615
766450,1581660,555.0737305,-82.4605073,-87.84590149
767650,1581660,547.9977417,-82.06383491,-40.66081238
768850,1581660,537.9488118,-80.57758145,-114.1878662
770050,1581660,535.7969869,-77.07651982,-121.8418579
771250,1581660,543.7050374,-73.16051517,-105.4406433
772450,1581660,510.9249573,-73.9255064,-14.53398609
773650,1581660,471.0758413,-77.78592839,-127.0303879
774850,1581660,459.080602,-82.48238511,-137.7810974
776050,1581660,453.5947113,-83.80610304,-127.0901184
777250,1581660,446.0236766,-82.61977077,-93.19639587
778450,1581660,438.5621033,-83.93903751,-79.51012421
779650,1581660,433.4869792,-87.08959341,-44.33526611
780850,1581660,433.5872447,-89.39232268,-36.46337128
782050,1581660,436.6545156,-89.43684111,-24.69997406
783250,1581660,430.2262929,-89.93334451,-29.78559494
784450,1581660,427.497584,-90.69950533,-13.14320946
785650,1581660,425.1417948,-91.04415593,-4.863888741
786850,1581660,424.8849894,-90.31708679,5.403921127
788050,1581660,420.1585134,-88.91655746,-29.43546677
789250,1581660,425.014801,-88.08035784,10.08129311
790450,1581660,428.9777476,-88.607409,5.998565674
791650,1581660,415.6283976,-87.87910619,-68.46265411
792850,1581660,407.4250946,-86.28005853,-23.65450478
794050,1581660,408.0441437,-84.97049899,-50.57927704
608050,1582860,606.5300802,-95.97604141,-13.85172081
609250,1582860,611.4637146,-96.01752138,-5.01441288
610450,1582860,617.6589864,-97.13466043,22.44370842
611650,1582860,622.3364563,-97.77668543,12.91739655
